X [ m ], Y [ m ], Z [ m ], Density [ kg m^-3 ], Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
4.06367704e-02, 5.32348938e-02, -5.77699915e-02, 3.54429221e+00, 4.57879000e+06, 3.46790479e+03, 0.00000000e+00
4.16464806e-02, 5.96864484e-02, -6.00527562e-02, 3.54563761e+00, 4.58077900e+06, 3.46811768e+03, 0.00000000e+00
4.47443984e-02, 5.26637137e-02, -5.43235242e-02, 3.54404616e+00, 4.57842600e+06, 3.46786621e+03, 0.00000000e+00
3.77947725e-02, 4.44857739e-02, -5.37422523e-02, 3.54015112e+00, 4.57261250e+06, 3.46720435e+03, 0.00000000e+00
3.62592041e-02, 5.04122041e-02, -5.89780509e-02, 3.54337358e+00, 4.57741450e+06, 3.46774756e+03, 0.00000000e+00
3.39672454e-02, 5.49648888e-02, -6.27562702e-02, 3.54478312e+00, 4.57950800e+06, 3.46797656e+03, 0.00000000e+00
4.30429801e-02, 6.63797408e-02, -6.11485764e-02, 3.54596329e+00, 4.58121550e+06, 3.46814185e+03, 0.00000000e+00
4.69302014e-02, 6.21100292e-02, -5.69772758e-02, 3.54593015e+00, 4.58120000e+06, 3.46815698e+03, 0.00000000e+00
3.47867422e-02, 5.96864447e-02, -6.42700940e-02, 3.54563451e+00, 4.58076200e+06, 3.46810767e+03, 0.00000000e+00
4.76692915e-02, 5.26637137e-02, -5.17759174e-02, 3.54404616e+00, 4.57843100e+06, 3.46787061e+03, 0.00000000e+00
4.28253449e-02, 4.44857739e-02, -4.98263389e-02, 3.54015660e+00, 4.57262500e+06, 3.46720898e+03, 0.00000000e+00
3.48928198e-02, 3.62897962e-02, -4.74680103e-02, 3.53016019e+00, 4.55794800e+06, 3.46558765e+03, 0.00000000e+00
3.31761800e-02, 4.04677019e-02, -5.31848706e-02, 3.53624630e+00, 4.56684100e+06, 3.46655591e+03, 0.00000000e+00
3.17574181e-02, 4.60631251e-02, -5.86740561e-02, 3.54124880e+00, 4.57424050e+06, 3.46738477e+03, 0.00000000e+00
2.87641268e-02, 4.87523414e-02, -6.20106831e-02, 3.54260707e+00, 4.57626250e+06, 3.46761353e+03, 0.00000000e+00
2.68567186e-02, 5.49648926e-02, -6.61123246e-02, 3.54478788e+00, 4.57951450e+06, 3.46797607e+03, 0.00000000e+00
3.54069993e-02, 6.45407587e-02, -6.54158592e-02, 3.54594398e+00, 4.58119200e+06, 3.46813916e+03, 0.00000000e+00
3.99830602e-02, 7.13566244e-02, -6.40328750e-02, 3.54545140e+00, 4.58040400e+06, 3.46802954e+03, 0.00000000e+00
4.48809341e-02, 7.69928843e-02, -6.10557832e-02, 3.54447937e+00, 4.57888800e+06, 3.46782715e+03, 0.00000000e+00
4.80378866e-02, 7.19978586e-02, -5.83220907e-02, 3.54528618e+00, 4.58015450e+06, 3.46800244e+03, 0.00000000e+00
4.99979779e-02, 6.21100292e-02, -5.43052144e-02, 3.54592729e+00, 4.58120250e+06, 3.46816162e+03, 0.00000000e+00
2.75046937e-02, 5.96864484e-02, -6.77071214e-02, 3.54563904e+00, 4.58076850e+06, 3.46810791e+03, 0.00000000e+00
5.11406511e-02, 5.49904890e-02, -4.97434363e-02, 3.54479122e+00, 4.57955000e+06, 3.46800000e+03, 0.00000000e+00
3.74549925e-02, 3.62897962e-02, -4.54735607e-02, 3.53016806e+00, 4.55796200e+06, 3.46559058e+03, 0.00000000e+00
